Parameters;From;To;Time;Age;Group;Step;Estimates;CI-;CI+;SE 
E;6;4;18;2;1;1;0,285111341;0,241074031;0,333656361;0,023663536
E;1;2;19;2;1;1;0,053584199;0,037342308;0,076330296;0,009784055
E;2;2;19;2;1;1;0,008577782;0,00463024;0,015837279;0,00269245
E;3;3;19;2;1;1;0,631164843;0,566362052;0,691557515;0,032091811
E;4;3;19;2;1;1;0,213856998;0,171612474;0,263196544;0,0233665
E;5;4;19;2;1;1;0,181109482;0,149335867;0,21791167;0,017477045
E;6;4;19;2;1;1;0,328935246;0,28154892;0,380077792;0,025203044
E;1;2;20;2;1;1;0,120362995;0,092536751;0,155126343;0,015884062
E;2;2;20;2;1;1;0,020481592;0,011715367;0,035571199;0,005809152
E;3;3;20;2;1;1;0,645871303;0,581577039;0,705292458;0,031704684
E;4;3;20;2;1;1;0,224765393;0,180249525;0,27656612;0,024585504
E;5;4;20;2;1;1;0,22911393;0,19231089;0,270600413;0,019981819
E;6;4;20;2;1;1;0,311037389;0,267114528;0,358648282;0,023401472
E;1;2;21;2;1;1;0,055047326;0,039145461;0,07689199;0,009490391
E;2;2;21;2;1;1;0,008823457;0,004806512;0,016143027;0,002728479
E;3;3;21;2;1;1;0,229431169;0,177659711;0,290951462;0,028932489
E;4;3;21;2;1;1;0,045192685;0,032690765;0,062168431;0,007415937
E;5;4;21;2;1;1;0,268856675;0,229286539;0,312486977;0,021253236
E;6;4;21;2;1;1;0,358384278;0,313328899;0,406086981;0,023724016
E;1;2;22;2;1;1;0,060250422;0,043708384;0,082512835;0,009776222
E;2;2;22;2;1;1;0,009702314;0,005336311;0,017577318;0,002952206
E;3;3;22;2;1;1;0,267828918;0,210364389;0,334344313;0,031722083
E;4;3;22;2;1;1;0,054955191;0,03998876;0,075084946;0,008840427
E;5;4;22;2;1;1;0,235946812;0,199965503;0,276167587;0,01945131
E;6;4;22;2;1;1;0,319301503;0,277166691;0,364610672;0,022353124
E;1;2;23;2;1;1;0,056772044;0,040708694;0,078654168;0,00954836
E;2;2;23;2;1;1;0,009113878;0,004985416;0,016604101;0,002798812
E;3;3;23;2;1;1;0,27768928;0,218461372;0,345868475;0,032614664
E;4;3;23;2;1;1;0,05759491;0,041808645;0,0788513;0,009330878
E;5;4;23;2;1;1;0,205793262;0,172330649;0,243839264;0,018239422
E;6;4;23;2;1;1;0,282433117;0,241846995;0,326893565;0,021730154
E;1;2;24;2;1;1;0,09767903;0,074208232;0,127550483;0,013512558
E;2;2;24;2;1;1;0,016273327;0,009173482;0,028708902;0,004740492
E;3;3;24;2;1;1;0,377216998;0,302438852;0,458335836;0,040073001
E;4;3;24;2;1;1;0,087829784;0,063683006;0,119959311;0,014208702
E;5;4;24;2;1;1;0,24745774;0,208944692;0,290463015;0,020815196
E;6;4;24;2;1;1;0,333106078;0,287010983;0,382631317;0,024456
E;1;2;25;2;1;1;0,041177532;0,028509277;0,059132361;0,007670556
E;2;2;25;2;1;1;0,006519929;0,003483188;0,01217185;0,002081921
E;3;3;25;2;1;1;0,402892101;0,325943901;0,48493705;0,040891878
E;4;3;25;2;1;1;0,096871678;0,070551086;0,131621176;0,015434292
E;5;4;25;2;1;1;0,233128266;0,197185611;0,273391407;0,019451144
E;6;4;25;2;1;1;0,315898913;0,272299694;0,362996759;0,023187662
E;1;2;26;2;1;1;0,05839375;0,041863703;0,080899651;0,009823958
E;2;2;26;2;1;1;0,009387768;0,00512581;0,017132389;0,002891485
E;3;3;26;2;1;1;0,305570284;0,229496438;0,393967424;0,042249482
E;4;3;26;2;1;1;0,065377805;0,044748824;0,094575115;0,012499716
