Index;Value;Cl-;Cl+;SE ;beta;t
212;0,419418261;0,216782096;0,622054425;0,103385798;col_obs;
213;0,364364331;0,145896534;0,582832128;0,111463162;col_obs;
214;-0,281723086;-0,493991881;-0,069454291;0,108300406;col_obs;
215;0,126685067;-0,085754762;0,339124896;0,108387668;col_obs;
216;0,742949546;0,509988066;0,975911025;0,118857898;col_obs;
217;0,343849523;0,115727396;0,57197165;0,11638884;col_obs;
218;0,321734919;0,082834796;0,560635042;0,121887818;col_obs;
219;0,640222252;0,413129218;0,867315286;0,115863793;col_obs;
220;0,642083291;0,408657632;0,87550895;0,119094724;col_obs;
221;0,553369483;0,293392149;0,813346817;0,132641497;col_obs;
222;0,548714218;0,291287431;0,806141005;0,131340198;col_obs;
223;1,286286588;1,02248831;1,550084866;0,134590958;col_obs;
224;0,778639548;0,519582717;1,037696379;0,132171852;col_obs;
225;0,978192934;0,702407286;1,253978582;0,140706963;col_obs;
226;0,548187519;0,274477633;0,821897406;0,139647901;col_obs;
227;1,006560507;0,681444673;1,33167634;0,165875425;col_obs;
228;0,64927706;0,308381609;0,99017251;0,17392625;col_obs;
229;1,294007367;0,96548289;1,622531845;0,167614529;col_obs;
230;1,206706254;0,898232257;1,51518025;0,157384692;col_obs;
231;1,0875316;0,775083215;1,399979985;0,159412441;col_obs;
232;0,805171604;0,511663745;1,098679463;0,149748908;col_obs;
233;0,863289616;0,184883396;1,541695835;0,346125622;col_obs;
234;-1,672010663;-1,97815538;-1,365865946;0,156196284;het_obs_winter;
235;-0,111717279;-0,993775227;0,77034067;0,450029566;col_obs;
236;-3,08134933;-4,17625056;-1,986448099;0,558623077;col_obs;
237;-2,571572168;-3,268409428;-1,874734908;0,355529214;col_obs;
238;-3,043498009;-3,668059857;-2,418936161;0,318654004;col_obs;
239;-2,708636839;-3,163927208;-2,253346471;0,232291004;col_obs;
240;-1,563361755;-1,837656705;-1,289066805;0,139946403;col_obs;
241;-1,807747882;-2,075290001;-1,540205764;0,136501081;col_obs;
242;-1,693943719;-1,943609067;-1,444278371;0,12738028;col_obs;
243;-0,591177703;-0,798072724;-0,384282683;0,105558684;col_obs;
244;-2,861235623;-3,218115834;-2,504355411;0,18208174;col_obs;
245;-1,704219605;-1,94972766;-1,458711551;0,125259212;col_obs;
246;-1,429873896;-1,662448433;-1,197299359;0,118660478;col_obs;
247;-1,524806343;-1,78917451;-1,260438176;0,134881718;col_obs;
248;-1,353823187;-1,613231469;-1,094414904;0,132351164;col_obs;
249;-1,031904027;-1,298013739;-0,765794316;0,135770261;col_obs;
250;-1,018562965;-1,269108696;-0,768017235;0,127829454;col_obs;
251;-0,85499869;-1,08021898;-0,629778401;0,114908311;col_obs;
252;-0,474349142;-0,695218124;-0,253480161;0,112688256;col_obs;
253;-0,324015624;-0,581932889;-0,06609836;0,131590441;col_obs;
254;-0,334456523;-0,567441428;-0,101471619;0,118869849;col_obs;
255;-0,907684814;-1,182192831;-0,633176797;0,140055111;col_obs;
256;-0,778326313;-1,050329304;-0,506323323;0,138777036;col_obs;
