Parameters;From;To;Time;Age;Group;Step;Estimates;CI-;CI+;SE 
E;3;3;34;2;2;1;0,605166698;0,555819173;0,652459833;0,024726511
E;7;3;34;2;2;1;0,170444854;0,143142908;0,201728199;0,014929259
E;3;3;35;2;2;1;0,363956311;0,320881743;0,409327968;0,02261645
E;5;3;35;2;2;1;0,096973145;0,070003555;0,132848806;0,015874918
E;3;3;36;2;2;1;0,532129217;0,48373077;0,579930547;0,024616568
E;4;3;36;2;2;1;0,16560649;0,117205644;0,228814178;0,028346246
E;1;2;37;2;2;1;0,029349049;0,017977096;0,047566235;0,007293564
E;2;2;37;2;2;1;0,003989942;0,001859577;0,008540012;0,00155223
E;3;3;37;2;2;1;0,15335573;0,115317659;0,201088887;0,021795367
E;11;3;37;2;2;1;0,022505614;0,015377954;0,032826792;0,004355994
E;3;3;38;2;2;1;0,57881921;0,527229146;0,628743824;0,025983716
E;7;3;38;2;2;1;0,155566845;0,129613236;0,185609139;0,014262083
E;3;3;39;2;2;1;0,05468567;0,038879029;0,076407767;0,009435142
E;5;3;39;2;2;1;0,010739804;0,00672444;0,017111555;0,002559947
E;3;3;40;2;2;1;0,608331817;0,559312204;0,655259597;0,024547819
E;4;3;40;2;2;1;0,213244286;0,153732999;0,28795411;0,03425084
E;1;2;41;2;2;1;0,109648184;0,0813296;0,146257337;0,016440805
E;2;2;41;2;2;1;0,01605399;0,008345633;0,030661949;0,00533545
E;3;3;41;2;2;1;0,363501258;0,296588846;0,436149367;0,035814255
E;11;3;41;2;2;1;0,067678632;0,048252184;0,094152502;0,011555731
E;3;3;42;2;2;1;0,43262124;0,384510352;0,482037348;0,024957148
E;7;3;42;2;2;1;0,09273551;0,076649721;0,111788379;0,00893212
E;3;3;43;2;2;1;0,155650316;0,127316981;0,188923976;0,015686155
E;5;3;43;2;2;1;0,033438416;0,022901753;0,048581767;0,006420098
E;3;3;44;2;2;1;0,208359191;0,175573445;0,2454445;0,017823076
E;4;3;44;2;2;1;0,043913392;0,029716633;0,064442025;0,008680872
E;1;2;45;2;2;1;0,086565456;0,062651642;0,118453565;0,014085857
E;2;2;45;2;2;1;0,012399958;0,006388157;0,023933101;0,004181927
E;3;3;45;2;2;1;0,242264948;0,192118973;0,300629152;0,027723041
E;11;3;45;2;2;1;0,039052638;0,027483298;0,055215682;0,006955987
E;3;3;46;2;2;1;0,542104693;0,489080638;0,594191803;0,026912763
E;7;3;46;2;2;1;0,136968584;0,113193169;0,164809766;0,013137505
E;3;3;47;2;2;1;0,203988163;0,169486676;0,243454147;0,018865354
E;5;3;47;2;2;1;0,045885397;0,03168701;0,066012114;0,008599889
E;3;3;48;2;2;1;0,357524394;0,31122195;0,406648511;0,024410095
E;4;3;48;2;2;1;0,088514433;0,060756788;0,127235658;0,016723961
E;1;2;49;2;2;1;0,060095249;0,041457743;0,086356488;0,011264809
E;2;2;49;2;2;1;0,008399721;0,004213257;0,016676362;0,002949951
E;3;3;49;2;2;1;0,209567138;0,162263996;0,266276946;0,026532691
E;11;3;49;2;2;1;0,03260176;0,022551453;0,046916113;0,006097017
E;3;3;50;2;2;1;0,670987816;0,619442932;0,71872136;0,025395848
E;7;3;50;2;2;1;0,214693631;0,17919557;0,255038758;0,019349911
E;3;3;51;2;2;1;0,182162719;0,14853362;0,221425686;0,018575735
E;5;3;51;2;2;1;0,040123292;0,027350073;0,058503138;0,007790266
E;3;3;52;2;2;1;0,49955394;0,446938294;0,552179467;0,026947019
E;4;3;52;2;2;1;0,148354065;0,104451689;0,20645517;0,025858362
E;1;2;53;2;2;1;0,108336044;0,08133159;0,142911934;0,015600761
E;2;2;53;2;2;1;0,015841946;0,008329362;0,029925951;0,005174287
E;3;3;53;2;2;1;0,387531819;0,314244143;0,466289566;0,039072371
E;11;3;53;2;2;1;0,074439939;0,05210328;0,105288682;0,013379385
E;3;3;54;2;2;1;0,56761893;0,515399768;0,618377548;0,026361491
E;7;3;54;2;2;1;0,149646654;0,124167398;0,179284023;0,014034737
E;3;3;55;2;2;1;0,197459651;0,161504437;0,239136571;0,019794826
E;5;3;55;2;2;1;0,044136304;0,030321137;0,063831694;0,008390029
E;3;3;56;2;2;1;0,555993461;0,502470974;0,608247237;0,027083739
E;4;3;56;2;2;1;0,17933379;0,127136112;0,246900132;0,030459873
E;1;2;57;2;2;1;0,092792012;0,0679448;0,125502262;0,014546472
E;2;2;57;2;2;1;0,013369956;0,006976611;0,025471861;0,004421111
E;3;3;57;2;2;1;0,134189646;0,096615957;0,183408987;0,021991268
E;11;3;57;2;2;1;0,019319738;0,012737886;0,029201933;0,004091239
E;3;3;58;2;2;1;0,57779872;0,523748805;0,630047375;0,027217139
E;7;3;58;2;2;1;0,155017923;0,127895224;0,186661413;0,014964874
E;3;3;59;2;2;1;0,263317954;0,219736099;0,312086366;0,023595566
E;5;3;59;2;2;1;0,062862577;0,043624872;0,089787277;0,011591131
E;3;3;60;2;2;1;0,532777455;0,477935036;0,586839071;0,027891779
E;4;3;60;2;2;1;0,165966616;0,116977925;0,230124459;0,028735087
E;1;2;61;2;2;1;0,154821989;0,119282131;0,198563509;0,020160211
E;2;2;61;2;2;1;0,02369421;0,012582214;0,044180685;0,00760389
E;3;3;61;2;2;1;0,353006886;0,28806469;0,42387301;0,034836216
E;11;3;61;2;2;1;0,064854522;0,046248867;0,090236955;0,01107175
E;3;3;62;2;2;1;0,655510896;0,604267406;0,703376116;0,025355301
