Index;Value;Cl-;Cl+;SE ;beta
138;-11,59765494;-15,48661442;-7,708695462;1,984162999;recov
139;-2,06277939;-2,237643544;-1,887915236;0,089216405;col_obs_het_all_eq
140;-2,004013476;-3,583251477;-0,424775476;0,805733674;col_obs
141;-4,634185785;-7,192604513;-2,075767056;1,305315678;col_obs
142;-2,635793582;-3,51010051;-1,761486655;0,446074963;col_obs
143;-1,981288078;-2,469838279;-1,492737876;0,249260307;col_obs
144;-2,084900047;-2,534306692;-1,635493403;0,229289104;col_obs
145;-2,006298247;-2,399327374;-1,613269119;0,200525065;col_obs
146;-1,641410137;-1,955100374;-1,327719901;0,160046039;col_obs
147;0,394422851;0,146451823;0,642393879;0,126515831;col_obs
148;-1,70472549;-2,029822724;-1,379628255;0,165865936;col_obs
149;-0,558151912;-0,821027125;-0,2952767;0,134120006;col_obs
150;-1,139610645;-1,425656756;-0,853564534;0,145941893;col_obs
151;-1,326829698;-1,647529753;-1,006129642;0,163622477;col_obs
152;-0,45718908;-0,791612531;-0,122765629;0,17062421;col_obs
153;-1,863787069;-2,23164801;-1,495926127;0,187684154;col_obs
154;-0,605211893;-0,916418689;-0,294005097;0,158778978;col_obs
155;-0,163459536;-0,446741779;0,119822706;0,144531756;col_obs
156;0,060079583;-0,220128694;0,34028786;0,142963407;col_obs
157;0,356437976;0,04723983;0,665636121;0,157754156;col_obs
158;0,401455005;0,097886055;0,705023956;0,154882118;col_obs
159;-1,429055905;-1,855971205;-1,002140606;0,217813928;col_obs
160;-1,260573897;-1,62986046;-0,891287334;0,188411512;col_obs
161;-1,267942299;-1,644397801;-0,891486797;0,192069134;col_obs
162;-0,841450499;-1,270710541;-0,412190458;0,219010225;col_obs
163;-0,717652083;-1,060488625;-0,37481554;0,174916603;col_obs
164;-1,07292837;-1,44820708;-0,69764966;0,19146873;col_obs
165;-0,496010096;-0,847318818;-0,144701375;0,179239143;col_obs
166;-0,739683182;-1,230290973;-0,24907539;0,250310098;col_obs
167;-0,65938624;-1,062735557;-0,256036923;0,205790468;col_obs
168;-0,275153219;-0,64735761;0,097051171;0,189900199;col_obs
169;-2,009705362;-2,095655442;-1,923755281;0,043852082;het_obs_fall
170;-0,81780984;-1,755127163;0,119507482;0,478223124;col_obs
171;-1,168270113;-1,686449787;-0,650090439;0,264377385;col_obs
172;0,014094246;-0,333109087;0,36129758;0,177144558;col_obs
173;-0,52435656;-0,813869791;-0,234843329;0,147710832;col_obs
174;0,106690557;-0,135599124;0,348980239;0,123617184;col_obs
175;0,654439071;0,438215695;0,870662447;0,110318049;col_obs
176;0,278912202;0,086263641;0,471560764;0,098290082;col_obs
177;-0,172224361;-0,353412725;0,008964003;0,092443043;col_obs
178;0,425072043;0,242410677;0,607733408;0,093194574;col_obs
179;0,321785291;0,129486641;0,514083942;0,098111557;col_obs
180;-0,270095758;-0,454647137;-0,085544378;0,094158867;col_obs
181;0,169117096;-0,016358653;0,354592845;0,094630484;col_obs
182;0,712522877;0,503765673;0,92128008;0,106508777;col_obs
183;0,272123109;0,050166869;0,494079348;0,113242979;col_obs
184;0,313888633;0,094263324;0,533513942;0,112053729;col_obs
185;0,643385172;0,424731465;0,862038879;0,111558014;col_obs
